+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.6147   |
|  epoch 2  |   0.5114   |
|  epoch 3  |   0.4757   |
|  epoch 4  |   0.4521   |
|  epoch 5  |   0.4391   |
|  epoch 6  |   0.4251   |
|  epoch 7  |   0.4128   |
|  epoch 8  |   0.4027   |
|  epoch 9  |   0.3910   |
|  epoch 10 |   0.3766   |
|  epoch 11 |   0.3723   |
|  epoch 12 |   0.3590   |
|  epoch 13 |   0.3451   |
|  epoch 14 |   0.3340   |
|  epoch 15 |   0.3273   |
|  epoch 16 |   0.3135   |
|  epoch 17 |   0.3126   |
|  epoch 18 |   0.2962   |
|  epoch 19 |   0.2834   |
|  epoch 20 |   0.2792   |
|  epoch 21 |   0.2681   |
|  epoch 22 |   0.2593   |
|  epoch 23 |   0.2570   |
|  epoch 24 |   0.2507   |
|  epoch 25 |   0.2360   |
|  epoch 26 |   0.2312   |
|  epoch 27 |   0.2223   |
|  epoch 28 |   0.2245   |
|  epoch 29 |   0.2150   |
|  epoch 30 |   0.2025   |
|  epoch 31 |   0.2025   |
|  epoch 32 |   0.1957   |
|  epoch 33 |   0.1940   |
|  epoch 34 |   0.1860   |
|  epoch 35 |   0.1820   |
|  epoch 36 |   0.1771   |
|  epoch 37 |   0.1706   |
|  epoch 38 |   0.1639   |
|  epoch 39 |   0.1646   |
|  epoch 40 |   0.1632   |
|  epoch 41 |   0.1573   |
|  epoch 42 |   0.1489   |
|  epoch 43 |   0.1509   |
|  epoch 44 |   0.1504   |
|  epoch 45 |   0.1440   |
|  epoch 46 |   0.1445   |
|  epoch 47 |   0.1307   |
|  epoch 48 |   0.1339   |
|  epoch 49 |   0.1344   |
|  epoch 50 |   0.1324   |
|  epoch 51 |   0.1281   |
|  epoch 52 |   0.1259   |
|  epoch 53 |   0.1148   |
|  epoch 54 |   0.1191   |
|  epoch 55 |   0.1178   |
|  epoch 56 |   0.1167   |
|  epoch 57 |   0.1114   |
|  epoch 58 |   0.1113   |
|  epoch 59 |   0.1062   |
|  epoch 60 |   0.1108   |
|  epoch 61 |   0.1019   |
|  epoch 62 |   0.0981   |
|  epoch 63 |   0.0981   |
|  epoch 64 |   0.1004   |
|  epoch 65 |   0.1014   |
|  epoch 66 |   0.0904   |
|  epoch 67 |   0.0951   |
|  epoch 68 |   0.0861   |
|  epoch 69 |   0.0883   |
|  epoch 70 |   0.0906   |
|  epoch 71 |   0.0841   |
|  epoch 72 |   0.0844   |
|  epoch 73 |   0.0873   |
|  epoch 74 |   0.0788   |
|  epoch 75 |   0.0853   |
|  epoch 76 |   0.0810   |
|  epoch 77 |   0.0771   |
|  epoch 78 |   0.0812   |
|  epoch 79 |   0.0799   |
|  epoch 80 |   0.0801   |
|  epoch 81 |   0.0748   |
|  epoch 82 |   0.0749   |
|  epoch 83 |   0.0704   |
|  epoch 84 |   0.0668   |
|  epoch 85 |   0.0687   |
|  epoch 86 |   0.0760   |
|  epoch 87 |   0.0660   |
|  epoch 88 |   0.0673   |
|  epoch 89 |   0.0699   |
|  epoch 90 |   0.0649   |
|  epoch 91 |   0.0670   |
|  epoch 92 |   0.0604   |
|  epoch 93 |   0.0666   |
|  epoch 94 |   0.0662   |
|  epoch 95 |   0.0624   |
|  epoch 96 |   0.0661   |
|  epoch 97 |   0.0623   |
|  epoch 98 |   0.0600   |
|  epoch 99 |   0.0581   |
| epoch 100 |   0.0601   |
| epoch 101 |   0.0548   |
| epoch 102 |   0.0520   |
| epoch 103 |   0.0535   |
| epoch 104 |   0.0541   |
| epoch 105 |   0.0533   |
| epoch 106 |   0.0520   |
| epoch 107 |   0.0607   |
| epoch 108 |   0.0527   |
| epoch 109 |   0.0537   |
| epoch 110 |   0.0504   |
| epoch 111 |   0.0519   |
| epoch 112 |   0.0454   |
| epoch 113 |   0.0445   |
| epoch 114 |   0.0489   |
| epoch 115 |   0.0511   |
| epoch 116 |   0.0489   |
| epoch 117 |   0.0488   |
| epoch 118 |   0.0511   |
| epoch 119 |   0.0479   |
| epoch 120 |   0.0442   |
| epoch 121 |   0.0421   |
| epoch 122 |   0.0456   |
| epoch 123 |   0.0437   |
| epoch 124 |   0.0424   |
| epoch 125 |   0.0465   |
| epoch 126 |   0.0420   |
| epoch 127 |   0.0416   |
| epoch 128 |   0.0444   |
| epoch 129 |   0.0432   |
| epoch 130 |   0.0404   |
| epoch 131 |   0.0438   |
| epoch 132 |   0.0370   |
| epoch 133 |   0.0416   |
| epoch 134 |   0.0400   |
| epoch 135 |   0.0438   |
| epoch 136 |   0.0404   |
| epoch 137 |   0.0372   |
| epoch 138 |   0.0385   |
| epoch 139 |   0.0383   |
| epoch 140 |   0.0354   |
| epoch 141 |   0.0376   |
| epoch 142 |   0.0390   |
| epoch 143 |   0.0360   |
| epoch 144 |   0.0425   |
| epoch 145 |   0.0360   |
| epoch 146 |   0.0364   |
| epoch 147 |   0.0365   |
| epoch 148 |   0.0381   |
| epoch 149 |   0.0393   |
| epoch 150 |   0.0332   |
+-----------+------------+
