,auroc,auprc,test_loss,sensitivity,specificity,accuracy,thred_optim,best_epoch,F1,Precision
mean,0.8760383999999999,0.881784,0.9304178000000001,0.8140789999999999,0.7977314,0.8056333999999999,0.4137257999999999,117.2,0.8019976,0.7907181999999999
std,0.0035384592409691516,0.003921531078545735,0.08159609483118666,0.012470520578548425,0.02578389892549223,0.007857188765710017,0.1493744384263921,27.04995378923964,0.004500746804698107,0.0182842806585329
