+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.6039   |
|  epoch 2  |   0.5083   |
|  epoch 3  |   0.4753   |
|  epoch 4  |   0.4523   |
|  epoch 5  |   0.4387   |
|  epoch 6  |   0.4202   |
|  epoch 7  |   0.4145   |
|  epoch 8  |   0.3986   |
|  epoch 9  |   0.3920   |
|  epoch 10 |   0.3731   |
|  epoch 11 |   0.3661   |
|  epoch 12 |   0.3504   |
|  epoch 13 |   0.3382   |
|  epoch 14 |   0.3255   |
|  epoch 15 |   0.3209   |
|  epoch 16 |   0.3104   |
|  epoch 17 |   0.3017   |
|  epoch 18 |   0.2911   |
|  epoch 19 |   0.2840   |
|  epoch 20 |   0.2717   |
|  epoch 21 |   0.2653   |
|  epoch 22 |   0.2592   |
|  epoch 23 |   0.2516   |
|  epoch 24 |   0.2385   |
|  epoch 25 |   0.2375   |
|  epoch 26 |   0.2340   |
|  epoch 27 |   0.2271   |
|  epoch 28 |   0.2175   |
|  epoch 29 |   0.2191   |
|  epoch 30 |   0.2127   |
|  epoch 31 |   0.2008   |
|  epoch 32 |   0.1981   |
|  epoch 33 |   0.1942   |
|  epoch 34 |   0.1943   |
|  epoch 35 |   0.1832   |
|  epoch 36 |   0.1816   |
|  epoch 37 |   0.1724   |
|  epoch 38 |   0.1698   |
|  epoch 39 |   0.1692   |
|  epoch 40 |   0.1655   |
|  epoch 41 |   0.1616   |
|  epoch 42 |   0.1581   |
|  epoch 43 |   0.1445   |
|  epoch 44 |   0.1482   |
|  epoch 45 |   0.1475   |
|  epoch 46 |   0.1475   |
|  epoch 47 |   0.1413   |
|  epoch 48 |   0.1401   |
|  epoch 49 |   0.1312   |
|  epoch 50 |   0.1316   |
|  epoch 51 |   0.1300   |
|  epoch 52 |   0.1268   |
|  epoch 53 |   0.1271   |
|  epoch 54 |   0.1207   |
|  epoch 55 |   0.1154   |
|  epoch 56 |   0.1178   |
|  epoch 57 |   0.1120   |
|  epoch 58 |   0.1100   |
|  epoch 59 |   0.1090   |
|  epoch 60 |   0.1130   |
|  epoch 61 |   0.1083   |
|  epoch 62 |   0.1074   |
|  epoch 63 |   0.0999   |
|  epoch 64 |   0.1025   |
|  epoch 65 |   0.1022   |
|  epoch 66 |   0.0950   |
|  epoch 67 |   0.1003   |
|  epoch 68 |   0.0989   |
|  epoch 69 |   0.0908   |
|  epoch 70 |   0.0921   |
|  epoch 71 |   0.0980   |
|  epoch 72 |   0.0931   |
|  epoch 73 |   0.0917   |
|  epoch 74 |   0.0839   |
|  epoch 75 |   0.0863   |
|  epoch 76 |   0.0830   |
|  epoch 77 |   0.0799   |
|  epoch 78 |   0.0799   |
|  epoch 79 |   0.0825   |
|  epoch 80 |   0.0788   |
|  epoch 81 |   0.0773   |
|  epoch 82 |   0.0892   |
|  epoch 83 |   0.0751   |
|  epoch 84 |   0.0707   |
|  epoch 85 |   0.0757   |
|  epoch 86 |   0.0692   |
|  epoch 87 |   0.0688   |
|  epoch 88 |   0.0690   |
|  epoch 89 |   0.0685   |
|  epoch 90 |   0.0702   |
|  epoch 91 |   0.0689   |
|  epoch 92 |   0.0638   |
|  epoch 93 |   0.0699   |
|  epoch 94 |   0.0688   |
|  epoch 95 |   0.0664   |
|  epoch 96 |   0.0585   |
|  epoch 97 |   0.0610   |
|  epoch 98 |   0.0660   |
|  epoch 99 |   0.0622   |
| epoch 100 |   0.0545   |
| epoch 101 |   0.0616   |
| epoch 102 |   0.0635   |
| epoch 103 |   0.0628   |
| epoch 104 |   0.0531   |
| epoch 105 |   0.0609   |
| epoch 106 |   0.0525   |
| epoch 107 |   0.0551   |
| epoch 108 |   0.0542   |
| epoch 109 |   0.0533   |
| epoch 110 |   0.0526   |
| epoch 111 |   0.0522   |
| epoch 112 |   0.0571   |
| epoch 113 |   0.0540   |
| epoch 114 |   0.0486   |
| epoch 115 |   0.0552   |
| epoch 116 |   0.0499   |
| epoch 117 |   0.0516   |
| epoch 118 |   0.0509   |
| epoch 119 |   0.0485   |
| epoch 120 |   0.0476   |
| epoch 121 |   0.0461   |
| epoch 122 |   0.0495   |
| epoch 123 |   0.0440   |
| epoch 124 |   0.0475   |
| epoch 125 |   0.0427   |
| epoch 126 |   0.0425   |
| epoch 127 |   0.0441   |
| epoch 128 |   0.0455   |
| epoch 129 |   0.0459   |
| epoch 130 |   0.0501   |
| epoch 131 |   0.0394   |
| epoch 132 |   0.0412   |
| epoch 133 |   0.0429   |
| epoch 134 |   0.0449   |
| epoch 135 |   0.0411   |
| epoch 136 |   0.0462   |
| epoch 137 |   0.0434   |
| epoch 138 |   0.0380   |
| epoch 139 |   0.0329   |
| epoch 140 |   0.0417   |
| epoch 141 |   0.0439   |
| epoch 142 |   0.0366   |
| epoch 143 |   0.0384   |
| epoch 144 |   0.0366   |
| epoch 145 |   0.0372   |
| epoch 146 |   0.0360   |
| epoch 147 |   0.0365   |
| epoch 148 |   0.0414   |
| epoch 149 |   0.0368   |
| epoch 150 |   0.0334   |
+-----------+------------+
