+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.6076   |
|  epoch 2  |   0.5072   |
|  epoch 3  |   0.4662   |
|  epoch 4  |   0.4451   |
|  epoch 5  |   0.4316   |
|  epoch 6  |   0.4187   |
|  epoch 7  |   0.4027   |
|  epoch 8  |   0.3918   |
|  epoch 9  |   0.3762   |
|  epoch 10 |   0.3678   |
|  epoch 11 |   0.3575   |
|  epoch 12 |   0.3424   |
|  epoch 13 |   0.3306   |
|  epoch 14 |   0.3254   |
|  epoch 15 |   0.3167   |
|  epoch 16 |   0.3007   |
|  epoch 17 |   0.2964   |
|  epoch 18 |   0.2827   |
|  epoch 19 |   0.2815   |
|  epoch 20 |   0.2749   |
|  epoch 21 |   0.2577   |
|  epoch 22 |   0.2554   |
|  epoch 23 |   0.2491   |
|  epoch 24 |   0.2373   |
|  epoch 25 |   0.2320   |
|  epoch 26 |   0.2305   |
|  epoch 27 |   0.2243   |
|  epoch 28 |   0.2185   |
|  epoch 29 |   0.2102   |
|  epoch 30 |   0.2085   |
|  epoch 31 |   0.1956   |
|  epoch 32 |   0.1959   |
|  epoch 33 |   0.1859   |
|  epoch 34 |   0.1829   |
|  epoch 35 |   0.1794   |
|  epoch 36 |   0.1761   |
|  epoch 37 |   0.1745   |
|  epoch 38 |   0.1702   |
|  epoch 39 |   0.1597   |
|  epoch 40 |   0.1566   |
|  epoch 41 |   0.1608   |
|  epoch 42 |   0.1563   |
|  epoch 43 |   0.1439   |
|  epoch 44 |   0.1491   |
|  epoch 45 |   0.1385   |
|  epoch 46 |   0.1394   |
|  epoch 47 |   0.1379   |
|  epoch 48 |   0.1346   |
|  epoch 49 |   0.1241   |
|  epoch 50 |   0.1263   |
|  epoch 51 |   0.1267   |
|  epoch 52 |   0.1204   |
|  epoch 53 |   0.1212   |
|  epoch 54 |   0.1142   |
|  epoch 55 |   0.1208   |
|  epoch 56 |   0.1146   |
|  epoch 57 |   0.1117   |
|  epoch 58 |   0.1098   |
|  epoch 59 |   0.1051   |
|  epoch 60 |   0.0970   |
|  epoch 61 |   0.1068   |
|  epoch 62 |   0.1001   |
|  epoch 63 |   0.0974   |
|  epoch 64 |   0.0914   |
|  epoch 65 |   0.0953   |
|  epoch 66 |   0.0934   |
|  epoch 67 |   0.0884   |
|  epoch 68 |   0.0873   |
|  epoch 69 |   0.0907   |
|  epoch 70 |   0.0865   |
|  epoch 71 |   0.0836   |
|  epoch 72 |   0.0803   |
|  epoch 73 |   0.0824   |
|  epoch 74 |   0.0836   |
|  epoch 75 |   0.0842   |
|  epoch 76 |   0.0786   |
|  epoch 77 |   0.0777   |
|  epoch 78 |   0.0734   |
|  epoch 79 |   0.0772   |
|  epoch 80 |   0.0735   |
|  epoch 81 |   0.0743   |
|  epoch 82 |   0.0732   |
|  epoch 83 |   0.0717   |
|  epoch 84 |   0.0742   |
|  epoch 85 |   0.0693   |
|  epoch 86 |   0.0710   |
|  epoch 87 |   0.0675   |
|  epoch 88 |   0.0640   |
|  epoch 89 |   0.0656   |
|  epoch 90 |   0.0628   |
|  epoch 91 |   0.0624   |
|  epoch 92 |   0.0646   |
|  epoch 93 |   0.0622   |
|  epoch 94 |   0.0636   |
|  epoch 95 |   0.0619   |
|  epoch 96 |   0.0534   |
|  epoch 97 |   0.0536   |
|  epoch 98 |   0.0594   |
|  epoch 99 |   0.0588   |
| epoch 100 |   0.0568   |
| epoch 101 |   0.0553   |
| epoch 102 |   0.0530   |
| epoch 103 |   0.0520   |
| epoch 104 |   0.0528   |
| epoch 105 |   0.0525   |
| epoch 106 |   0.0541   |
| epoch 107 |   0.0533   |
| epoch 108 |   0.0456   |
| epoch 109 |   0.0525   |
| epoch 110 |   0.0532   |
| epoch 111 |   0.0510   |
| epoch 112 |   0.0510   |
| epoch 113 |   0.0438   |
| epoch 114 |   0.0482   |
| epoch 115 |   0.0486   |
| epoch 116 |   0.0423   |
| epoch 117 |   0.0492   |
| epoch 118 |   0.0522   |
| epoch 119 |   0.0436   |
| epoch 120 |   0.0469   |
| epoch 121 |   0.0462   |
| epoch 122 |   0.0453   |
| epoch 123 |   0.0455   |
| epoch 124 |   0.0447   |
| epoch 125 |   0.0409   |
| epoch 126 |   0.0444   |
| epoch 127 |   0.0407   |
| epoch 128 |   0.0436   |
| epoch 129 |   0.0430   |
| epoch 130 |   0.0415   |
| epoch 131 |   0.0399   |
| epoch 132 |   0.0376   |
| epoch 133 |   0.0387   |
| epoch 134 |   0.0376   |
| epoch 135 |   0.0427   |
| epoch 136 |   0.0390   |
| epoch 137 |   0.0430   |
| epoch 138 |   0.0410   |
| epoch 139 |   0.0340   |
| epoch 140 |   0.0330   |
| epoch 141 |   0.0349   |
| epoch 142 |   0.0391   |
| epoch 143 |   0.0362   |
| epoch 144 |   0.0336   |
| epoch 145 |   0.0332   |
| epoch 146 |   0.0370   |
| epoch 147 |   0.0353   |
| epoch 148 |   0.0374   |
| epoch 149 |   0.0370   |
| epoch 150 |   0.0364   |
+-----------+------------+
