+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.6179   |
|  epoch 2  |   0.5135   |
|  epoch 3  |   0.4670   |
|  epoch 4  |   0.4510   |
|  epoch 5  |   0.4327   |
|  epoch 6  |   0.4235   |
|  epoch 7  |   0.4098   |
|  epoch 8  |   0.4043   |
|  epoch 9  |   0.3967   |
|  epoch 10 |   0.3814   |
|  epoch 11 |   0.3748   |
|  epoch 12 |   0.3660   |
|  epoch 13 |   0.3507   |
|  epoch 14 |   0.3432   |
|  epoch 15 |   0.3354   |
|  epoch 16 |   0.3244   |
|  epoch 17 |   0.3071   |
|  epoch 18 |   0.2993   |
|  epoch 19 |   0.2978   |
|  epoch 20 |   0.2839   |
|  epoch 21 |   0.2784   |
|  epoch 22 |   0.2697   |
|  epoch 23 |   0.2705   |
|  epoch 24 |   0.2587   |
|  epoch 25 |   0.2531   |
|  epoch 26 |   0.2455   |
|  epoch 27 |   0.2413   |
|  epoch 28 |   0.2338   |
|  epoch 29 |   0.2267   |
|  epoch 30 |   0.2199   |
|  epoch 31 |   0.2190   |
|  epoch 32 |   0.2142   |
|  epoch 33 |   0.2122   |
|  epoch 34 |   0.2052   |
|  epoch 35 |   0.1940   |
|  epoch 36 |   0.1974   |
|  epoch 37 |   0.1909   |
|  epoch 38 |   0.1905   |
|  epoch 39 |   0.1826   |
|  epoch 40 |   0.1757   |
|  epoch 41 |   0.1719   |
|  epoch 42 |   0.1708   |
|  epoch 43 |   0.1664   |
|  epoch 44 |   0.1619   |
|  epoch 45 |   0.1621   |
|  epoch 46 |   0.1633   |
|  epoch 47 |   0.1509   |
|  epoch 48 |   0.1538   |
|  epoch 49 |   0.1525   |
|  epoch 50 |   0.1475   |
|  epoch 51 |   0.1443   |
|  epoch 52 |   0.1363   |
|  epoch 53 |   0.1461   |
|  epoch 54 |   0.1431   |
|  epoch 55 |   0.1320   |
|  epoch 56 |   0.1306   |
|  epoch 57 |   0.1242   |
|  epoch 58 |   0.1246   |
|  epoch 59 |   0.1266   |
|  epoch 60 |   0.1193   |
|  epoch 61 |   0.1263   |
|  epoch 62 |   0.1167   |
|  epoch 63 |   0.1151   |
|  epoch 64 |   0.1140   |
|  epoch 65 |   0.1144   |
|  epoch 66 |   0.1075   |
|  epoch 67 |   0.1115   |
|  epoch 68 |   0.1059   |
|  epoch 69 |   0.0975   |
|  epoch 70 |   0.1033   |
|  epoch 71 |   0.0977   |
|  epoch 72 |   0.1024   |
|  epoch 73 |   0.0973   |
|  epoch 74 |   0.0997   |
|  epoch 75 |   0.0999   |
|  epoch 76 |   0.0906   |
|  epoch 77 |   0.0906   |
|  epoch 78 |   0.0938   |
|  epoch 79 |   0.0867   |
|  epoch 80 |   0.0892   |
|  epoch 81 |   0.0873   |
|  epoch 82 |   0.0904   |
|  epoch 83 |   0.0834   |
|  epoch 84 |   0.0881   |
|  epoch 85 |   0.0848   |
|  epoch 86 |   0.0821   |
|  epoch 87 |   0.0861   |
|  epoch 88 |   0.0774   |
|  epoch 89 |   0.0755   |
|  epoch 90 |   0.0761   |
|  epoch 91 |   0.0760   |
|  epoch 92 |   0.0745   |
|  epoch 93 |   0.0744   |
|  epoch 94 |   0.0700   |
|  epoch 95 |   0.0691   |
|  epoch 96 |   0.0706   |
|  epoch 97 |   0.0722   |
|  epoch 98 |   0.0684   |
|  epoch 99 |   0.0688   |
| epoch 100 |   0.0746   |
| epoch 101 |   0.0594   |
| epoch 102 |   0.0639   |
| epoch 103 |   0.0659   |
| epoch 104 |   0.0622   |
| epoch 105 |   0.0673   |
| epoch 106 |   0.0655   |
| epoch 107 |   0.0573   |
| epoch 108 |   0.0592   |
| epoch 109 |   0.0583   |
| epoch 110 |   0.0627   |
| epoch 111 |   0.0538   |
| epoch 112 |   0.0632   |
| epoch 113 |   0.0584   |
| epoch 114 |   0.0606   |
| epoch 115 |   0.0516   |
| epoch 116 |   0.0567   |
| epoch 117 |   0.0558   |
| epoch 118 |   0.0529   |
| epoch 119 |   0.0538   |
| epoch 120 |   0.0551   |
| epoch 121 |   0.0522   |
| epoch 122 |   0.0507   |
| epoch 123 |   0.0524   |
| epoch 124 |   0.0528   |
| epoch 125 |   0.0501   |
| epoch 126 |   0.0479   |
| epoch 127 |   0.0505   |
| epoch 128 |   0.0512   |
| epoch 129 |   0.0507   |
| epoch 130 |   0.0425   |
| epoch 131 |   0.0475   |
| epoch 132 |   0.0479   |
| epoch 133 |   0.0482   |
| epoch 134 |   0.0471   |
| epoch 135 |   0.0446   |
| epoch 136 |   0.0479   |
| epoch 137 |   0.0466   |
| epoch 138 |   0.0498   |
| epoch 139 |   0.0474   |
| epoch 140 |   0.0433   |
| epoch 141 |   0.0446   |
| epoch 142 |   0.0406   |
| epoch 143 |   0.0402   |
| epoch 144 |   0.0426   |
| epoch 145 |   0.0418   |
| epoch 146 |   0.0452   |
| epoch 147 |   0.0466   |
| epoch 148 |   0.0447   |
| epoch 149 |   0.0404   |
| epoch 150 |   0.0373   |
+-----------+------------+
