seed,AUROC,AUPRC,F1,Sensitivity,Specificity,Accuracy
42,0.8935,0.8948,0.8114,0.8296,0.7848,0.8071
52,0.8943,0.8957,0.8207,0.8505,0.7779,0.8141
62,0.8971,0.9006,0.8203,0.8344,0.8001,0.8172
72,0.8967,0.9055,0.8186,0.8402,0.7874,0.8137
82,0.8920,0.8949,0.8179,0.8267,0.8052,0.8159
