seed,auroc,auprc,test_loss,sensitivity,specificity,accuracy,thred_optim,best_epoch,F1,Precision
42,0.879642,0.880768,0.920219,0.819711,0.808635,0.813989,0.381145,140,0.809892,0.800305
52,0.876436,0.882393,1.005682,0.810325,0.798024,0.80397,0.398045,145,0.799846,0.789634
62,0.881343,0.886141,0.980731,0.853344,0.730699,0.789981,0.06975,142,0.797078,0.747772
72,0.880523,0.880348,0.868066,0.85569,0.721186,0.7862,0.086282,110,0.794625,0.741695
82,0.878549,0.87949,0.902387,0.824795,0.796195,0.810019,0.247055,113,0.807582,0.791073
