,auroc,auprc,test_loss,sensitivity,specificity,accuracy,thred_optim,best_epoch,F1,Precision
mean,0.8792985999999999,0.881828,0.9354169999999999,0.8327729999999999,0.7709478,0.8008317999999999,0.2364554,130.0,0.8018046,0.7740958
std,0.001907421636660327,0.0026316077785262563,0.056675934324014444,0.02053370376965637,0.04149418452867822,0.012239222675480645,0.15612604775725286,17.014699527173555,0.0066428139218255924,0.02719989628105226
