seed,AUROC,AUPRC,F1,Sensitivity,Specificity,Accuracy
42,0.9493,0.9329,0.8872,0.8937,0.8789,0.8851
52,0.9498,0.9297,0.8854,0.8920,0.8772,0.8833
62,0.9525,0.9352,0.8889,0.9109,0.8614,0.8819
72,0.9491,0.9315,0.8889,0.9057,0.8678,0.8835
82,0.9493,0.9338,0.8900,0.8832,0.8985,0.8922
